hcp_id,product,year_month,num_prescriptions,total_units
HCP00001,Diabetreat,2023-01,3,252
HCP00001,Neuroheal,2023-01,1,39
HCP00001,Immunoboost,2023-01,2,88
HCP00001,Painrelief,2023-01,3,90
HCP00001,Diabetreat,2023-02,4,168
HCP00001,Neuroheal,2023-02,3,129
HCP00001,Immunoboost,2023-02,5,410
HCP00001,Painrelief,2023-02,4,336
HCP00001,Diabetreat,2023-03,6,312
HCP00001,Neuroheal,2023-03,3,159
HCP00001,Immunoboost,2023-03,3,240
HCP00001,Painrelief,2023-03,5,345
HCP00001,Diabetreat,2023-04,5,375
HCP00001,Neuroheal,2023-04,3,228
HCP00001,Immunoboost,2023-04,3,99
HCP00001,Painrelief,2023-04,3,141
HCP00001,Diabetreat,2023-05,6,240
HCP00001,Neuroheal,2023-05,3,111
HCP00001,Immunoboost,2023-05,3,228
HCP00001,Painrelief,2023-05,5,435
HCP00001,Diabetreat,2023-06,4,232
HCP00001,Neuroheal,2023-06,2,156
HCP00001,Immunoboost,2023-06,3,144
HCP00001,Painrelief,2023-06,3,225
HCP00001,Diabetreat,2023-07,5,240
HCP00001,Neuroheal,2023-07,4,356
HCP00001,Immunoboost,2023-07,4,312
HCP00001,Painrelief,2023-07,3,243
HCP00001,Diabetreat,2023-08,3,174
HCP00001,Neuroheal,2023-08,3,195
HCP00001,Immunoboost,2023-08,2,128
HCP00001,Painrelief,2023-08,3,219
HCP00001,Diabetreat,2023-09,6,462
HCP00001,Neuroheal,2023-09,4,176
HCP00001,Immunoboost,2023-09,3,183
HCP00001,Painrelief,2023-09,5,205
HCP00001,Diabetreat,2023-10,4,212
HCP00001,Neuroheal,2023-10,2,90
HCP00001,Immunoboost,2023-10,3,228
HCP00001,Painrelief,2023-10,4,204
HCP00001,Diabetreat,2023-11,3,249
HCP00001,Neuroheal,2023-11,1,45
HCP00001,Immunoboost,2023-11,3,126
HCP00001,Painrelief,2023-11,3,153
HCP00001,Diabetreat,2023-12,2,144
HCP00001,Neuroheal,2023-12,1,74
HCP00001,Immunoboost,2023-12,2,136
HCP00001,Painrelief,2023-12,2,130
HCP00001,Diabetreat,2024-01,6,426
HCP00001,Neuroheal,2024-01,4,264
HCP00001,Immunoboost,2024-01,6,534
HCP00001,Painrelief,2024-01,3,255
HCP00001,Diabetreat,2024-02,4,260
HCP00001,Neuroheal,2024-02,3,216
HCP00001,Immunoboost,2024-02,6,282
HCP00001,Painrelief,2024-02,5,415
HCP00001,Diabetreat,2024-03,5,160
HCP00001,Neuroheal,2024-03,4,260
